x1,y1,x2,y2,step,time,direction
538,538,638,638,341,-0.3255681545,1
507,507,607,607,342,-0.3090169944,1
477,477,577,577,343,-0.2923717047,1
449,449,549,549,344,-0.2756373558,1
423,423,523,523,345,-0.2588190451,1
398,398,498,498,346,-0.2419218956,1
375,375,475,475,347,-0.2249510543,1
354,354,454,454,348,-0.2079116908,1
334,334,434,434,349,-0.1908089954,1
316,316,416,416,350,-0.1736481777,1
331,331,431,431,351,0.156434465,-1
344,344,444,444,352,0.139173101,-1
356,356,456,456,353,0.1218693434,-1
366,366,466,466,354,0.1045284633,-1
374,374,474,474,355,0.0871557428,-1
380,380,480,480,356,0.0697564737,-1
385,385,485,485,357,0.0523359562,-1
388,388,488,488,358,0.0348994967,-1
389,389,489,489,359,0.0174524064,-1
